Age,lx,qx,Lx,ex
0,"100,000",0.0042,"99,625",80.1
1,"99,580",0.00035,"99,561",79.4
2,"99,545",0.00019,"99,535",78.4
3,"99,527",0.00014,"99,519",77.4
4,"99,512",0.00012,"99,506",76.4
5,"99,500",0.00011,"99,494",75.5
6,"99,489",0.0001,"99,484",74.5
7,"99,479",0.00009,"99,474",73.5
8,"99,470",0.00009,"99,465",72.5
9,"99,461",0.00009,"99,457",71.5
10,"99,452",0.00009,"99,448",70.5
11,"99,444",0.00009,"99,439",69.5
12,"99,435",0.0001,"99,430",68.5
13,"99,425",0.00011,"99,420",67.5
14,"99,415",0.00016,"99,407",66.5
15,"99,398",0.00023,"99,387",65.5
16,"99,375",0.00032,"99,360",64.5
17,"99,344",0.00042,"99,323",63.6
18,"99,302",0.00051,"99,277",62.6
19,"99,251",0.00059,"99,222",61.6
20,"99,193",0.00062,"99,162",60.7
21,"99,131",0.00063,"99,099",59.7
22,"99,068",0.00063,"99,037",58.7
23,"99,006",0.00063,"98,975",57.8
24,"98,944",0.00064,"98,912",56.8
25,"98,880",0.00067,"98,848",55.8
26,"98,814",0.0007,"98,780",54.9
27,"98,745",0.00072,"98,710",53.9
28,"98,674",0.00074,"98,637",53
29,"98,600",0.00076,"98,563",52
30,"98,525",0.00079,"98,487",51
31,"98,448",0.00082,"98,407",50.1
32,"98,367",0.00086,"98,325",49.1
33,"98,282",0.00091,"98,238",48.2
34,"98,193",0.00095,"98,146",47.2
35,"98,099",0.001,"98,050",46.2
36,"98,001",0.00105,"97,949",45.3
37,"97,897",0.00111,"97,843",44.3
38,"97,789",0.00118,"97,732",43.4
39,"97,673",0.00125,"97,613",42.4
40,"97,551",0.00134,"97,486",41.5
41,"97,420",0.00143,"97,352",40.5
42,"97,281",0.00153,"97,208",39.6
43,"97,132",0.00165,"97,053",38.7
44,"96,972",0.00178,"96,887",37.7
45,"96,800",0.00192,"96,708",36.8
46,"96,614",0.00208,"96,515",35.9
47,"96,413",0.00226,"96,305",34.9
48,"96,195",0.00246,"96,078",34
49,"95,959",0.00267,"95,832",33.1
50,"95,702",0.00291,"95,565",32.2
51,"95,424",0.00316,"95,275",31.3
52,"95,123",0.00344,"94,961",30.4
53,"94,795",0.00375,"94,620",29.5
54,"94,440",0.00407,"94,250",28.6
55,"94,055",0.00443,"93,850",27.7
56,"93,639",0.00481,"93,416",26.8
57,"93,188",0.00524,"92,947",25.9
58,"92,700",0.0057,"92,439",25.1
59,"92,171",0.00621,"91,889",24.2
60,"91,599",0.00678,"91,292",23.4
61,"90,978",0.0074,"90,646",22.5
62,"90,304",0.00809,"89,944",21.7
63,"89,574",0.00884,"89,184",20.9
64,"88,782",0.00968,"88,358",20
65,"87,923",0.0106,"87,463",19.2
66,"86,991",0.01163,"86,492",18.4
67,"85,979",0.01275,"85,438",17.6
68,"84,883",0.01399,"84,297",16.9
69,"83,695",0.01536,"83,061",16.1
70,"82,409",0.0169,"81,722",15.3
71,"81,016",0.01865,"80,271",14.6
72,"79,505",0.02066,"78,695",13.9
73,"77,862",0.02298,"76,980",13.1
74,"76,073",0.02564,"75,112",12.4
75,"74,122",0.02869,"73,074",11.8
76,"71,995",0.03218,"70,853",11.1
77,"69,679",0.03614,"68,437",10.4
78,"67,160",0.04061,"65,814",9.8
79,"64,433",0.04564,"62,980",9.2
80,"61,492",0.05126,"59,934",8.6
81,"58,340",0.05759,"56,677",8.1
82,"54,980",0.06473,"53,217",7.5
83,"51,421",0.07279,"49,564",7
84,"47,678",0.08186,"45,739",6.5
85,"43,775",0.09203,"41,770",6.1
86,"39,747",0.10338,"37,697",5.6
87,"35,638",0.11599,"33,570",5.2
88,"31,504",0.12992,"29,451",4.8
89,"27,411",0.1452,"25,408",4.5
90,"23,431",0.1615,"21,518",4.2
91,"19,647",0.17699,"17,879",3.9
92,"16,170",0.19169,"14,590",3.6
93,"13,070",0.21134,"11,661",3.3
94,"10,308",0.23453,"9,069",3.1
95,"7,890",0.25799,"6,839",2.9
96,"5,855",0.27885,"5,004",2.7
97,"4,222",0.29261,"3,574",2.6
