Age,lx,qx,Lx,ex,mx
0,100000,0.00999,99500,73.3,0.01004
1,99001,0.00078,98961,73.1,0.00078
2,98923,0.00048,98898,72.1,0.00048
3,98875,0.00036,98856,71.2,0.00036
4,98839,0.0003,98823,70.2,0.0003
5,98809,0.00027,98795,69.2,0.00027
6,98782,0.00027,98768,68.2,0.00027
7,98755,0.00024,98742,67.2,0.00024
8,98731,0.00024,98718,66.3,0.00024
9,98707,0.00024,98694,65.3,0.00024
10,98683,0.00024,98670,64.3,0.00024
11,98659,0.00024,98646,63.3,0.00024
12,98635,0.00024,98622,62.3,0.00024
13,98611,0.00027,98597,61.3,0.00027
14,98584,0.00042,98562,60.4,0.00042
15,98542,0.00054,98514,59.4,0.00054
16,98488,0.00066,98454,58.4,0.00066
17,98422,0.00072,98386,57.4,0.00072
18,98351,0.00078,98312,56.5,0.00078
19,98274,0.00081,98233,55.5,0.00081
20,98194,0.00081,98153,54.6,0.00081
21,98114,0.00081,98073,53.6,0.00081
22,98034,0.00081,97993,52.7,0.00081
23,97954,0.00078,97915,51.7,0.00078
24,97877,0.00078,97838,50.7,0.00078
25,97800,0.00078,97761,49.8,0.00078
26,97723,0.00078,97684,48.8,0.00078
27,97646,0.00081,97605,47.9,0.00081
28,97566,0.00087,97523,46.9,0.00087
29,97481,0.00096,97433,45.9,0.00096
30,97387,0.00108,97333,45,0.00108
31,97281,0.0012,97222,44,0.0012
32,97164,0.00129,97100,43.1,0.00129
33,97038,0.00135,96971,42.1,0.00135
34,96906,0.00141,96837,41.2,0.00141
35,96769,0.0015,96695,40.3,0.0015
36,96623,0.00162,96544,39.3,0.00162
37,96466,0.0018,96378,38.4,0.0018
38,96292,0.00198,96196,37.4,0.00198
39,96101,0.00216,95996,36.5,0.00216
40,95893,0.00237,95778,35.6,0.00237
41,95665,0.00258,95541,34.7,0.00258
42,95418,0.00279,95284,33.8,0.00279
43,95151,0.00306,95004,32.9,0.00306
44,94859,0.00333,94700,32,0.00334
45,94543,0.00363,94370,31.1,0.00364
46,94199,0.00393,94013,30.2,0.00394
47,93828,0.00426,93627,29.3,0.00427
48,93428,0.00462,93211,28.4,0.00463
49,92996,0.00501,92762,27.6,0.00502
50,92530,0.0054,92279,26.7,0.00541
51,92030,0.00585,91760,25.8,0.00587
52,91491,0.00636,91199,25,0.00638
53,90909,0.00687,90596,24.1,0.00689
54,90284,0.00747,89946,23.3,0.0075
55,89609,0.0081,89245,22.5,0.00813
56,88883,0.00882,88490,21.7,0.00886
57,88099,0.00957,87676,20.8,0.00962
58,87255,0.01041,86800,20,0.01046
59,86346,0.01134,85855,19.2,0.0114
60,85366,0.01233,84839,18.5,0.01241
61,84313,0.01341,83747,17.7,0.0135
62,83182,0.01458,82575,16.9,0.01469
63,81969,0.01587,81318,16.2,0.016
64,80668,0.01725,79971,15.4,0.0174
65,79276,0.01878,78531,14.7,0.01896
66,77787,0.02049,76989,13.9,0.0207
67,76193,0.0225,75335,13.2,0.02276
68,74478,0.02481,73553,12.5,0.02512
69,72630,0.02748,71631,11.8,0.02786
70,70634,0.03057,69553,11.1,0.03105
71,68474,0.03414,67304,10.5,0.03473
72,66136,0.03822,64871,9.8,0.03897
73,63608,0.04284,62245,9.2,0.04378
74,60883,0.04794,59423,8.6,0.04912
75,57964,0.05349,56413,8,0.05496
76,54863,0.05976,53223,7.4,0.0616
77,51584,0.06705,49854,6.9,0.06938
78,48125,0.07569,46303,6.3,0.07867
79,44482,0.08595,42569,5.8,0.08981
80,40658,0.09813,38662,5.3,0.1032
81,36668,0.11259,34603,4.8,0.11931
82,32539,0.12954,30430,4.4,0.13852
83,28323,0.14928,26208,3.9,0.16133
84,24094,0.17205,22020,3.6,0.18825
85,19948,0.19809,17971,3.2,0.21988
86,15996,0.22761,14175,2.9,0.25685
87,12355,0.26079,10743,2.5,0.29992
88,9132,0.29781,7771,2.3,0.34997
89,6412,0.33879,5325,2,0.40795
90,4239,0.38265,3427,1.8,0.47332
91,2616,0.42633,2057,1.6,0.54219
92,1500,0.47547,1142,1.4,0.62452
93,786,0.53535,575,1.2,0.7318
94,365,0.60204,254,1.1,0.86514
95,145,0.66993,95,0.9,1.02252
96,47,0.73398,29,0.7,1.18955
97,12,0.78138,6,0.5,1.56276
