Age,lx,qx,Lx,ex,mx
0,100000,0.00529,99735,77.6,0.0053
1,99471,0.00044,99448,77,0.00044
2,99427,0.00024,99414,76,0.00024
3,99403,0.00018,99393,75,0.00018
4,99385,0.00015,99377,74,0.00015
5,99370,0.00014,99362,73.1,0.00014
6,99356,0.00013,99349,72.1,0.00013
7,99343,0.00011,99337,71.1,0.00011
8,99332,0.00011,99326,70.1,0.00011
9,99321,0.00011,99315,69.1,0.00011
10,99310,0.00011,99304,68.1,0.00011
11,99299,0.00011,99293,67.1,0.00011
12,99288,0.00013,99281,66.1,0.00013
13,99275,0.00014,99267,65.1,0.00014
14,99261,0.0002,99250,64.1,0.0002
15,99241,0.00029,99226,63.1,0.00029
16,99212,0.0004,99191,62.2,0.0004
17,99172,0.00053,99145,61.2,0.00053
18,99119,0.00064,99086,60.2,0.00064
19,99055,0.00074,99017,59.3,0.00074
20,98981,0.00078,98941,58.3,0.00078
21,98903,0.00079,98863,57.3,0.00079
22,98824,0.00079,98784,56.4,0.00079
23,98745,0.00079,98705,55.4,0.00079
24,98666,0.00081,98625,54.5,0.00081
25,98586,0.00084,98544,53.5,0.00084
26,98503,0.00088,98459,52.6,0.00088
27,98416,0.00091,98370,51.6,0.00091
28,98326,0.00093,98279,50.7,0.00093
29,98234,0.00096,98186,49.7,0.00096
30,98139,0.001,98089,48.8,0.001
31,98040,0.00103,97989,47.8,0.00103
32,97939,0.00108,97885,46.9,0.00108
33,97833,0.00115,97776,45.9,0.00115
34,97720,0.0012,97660,45,0.0012
35,97602,0.00126,97540,44,0.00126
36,97479,0.00132,97414,43.1,0.00132
37,97350,0.0014,97281,42.1,0.0014
38,97213,0.00149,97140,41.2,0.00149
39,97068,0.00158,96990,40.2,0.00158
40,96914,0.00169,96831,39.3,0.00169
41,96750,0.0018,96662,38.4,0.0018
42,96575,0.00193,96481,37.4,0.00193
43,96388,0.00208,96287,36.5,0.00208
44,96187,0.00224,96078,35.6,0.00224
45,95971,0.00242,95854,34.7,0.00242
46,95738,0.00262,95612,33.7,0.00262
47,95487,0.00285,95350,32.8,0.00285
48,95214,0.0031,95065,31.9,0.0031
49,94918,0.00336,94758,31,0.00337
50,94599,0.00367,94424,30.1,0.00368
51,94251,0.00398,94062,29.2,0.00399
52,93875,0.00433,93671,28.4,0.00434
53,93468,0.00473,93246,27.5,0.00474
54,93025,0.00513,92785,26.6,0.00514
55,92547,0.00558,92288,25.7,0.0056
56,92030,0.00606,91750,24.9,0.00608
57,91472,0.0066,91169,24,0.00662
58,90868,0.00718,90541,23.2,0.00721
59,90215,0.00782,89861,22.4,0.00785
60,89509,0.00854,89126,21.5,0.00858
61,88744,0.00932,88329,20.7,0.00936
62,87916,0.01019,87467,19.9,0.01024
63,87020,0.01114,86534,19.1,0.0112
64,86050,0.0122,85524,18.3,0.01228
65,85000,0.01336,84431,17.5,0.01345
66,83864,0.01465,83249,16.8,0.01476
67,82635,0.01607,81970,16,0.0162
68,81307,0.01763,80589,15.2,0.01779
69,79873,0.01935,79099,14.5,0.01954
70,78327,0.02129,77492,13.8,0.02152
71,76659,0.0235,75757,13.1,0.02378
72,74857,0.02603,73882,12.4,0.02637
73,72908,0.02895,71852,11.7,0.02938
74,70797,0.03231,69652,11,0.03284
75,68509,0.03615,67270,10.4,0.03682
76,66032,0.04055,64692,9.8,0.04139
77,63354,0.04554,61910,9.1,0.0466
78,60468,0.05117,58920,8.6,0.05251
79,57373,0.05751,55722,8,0.05921
80,54073,0.06459,52326,7.5,0.06675
81,50580,0.07256,48744,6.9,0.07529
82,46909,0.08156,44995,6.4,0.08503
83,43083,0.09172,41106,6,0.09613
84,39131,0.10314,37112,5.5,0.10875
85,35095,0.11596,33059,5.1,0.1231
86,31025,0.13026,29003,4.7,0.13934
87,26983,0.14615,25010,4.3,0.15768
88,23039,0.1637,21152,4,0.1783
89,19267,0.18295,17504,3.7,0.20138
90,15742,0.20349,14139,3.4,0.22656
91,12538,0.22301,11139,3.1,0.25102
92,9741,0.24153,8564,2.8,0.27472
93,7388,0.26629,6403,2.6,0.30725
94,5420,0.29551,4618,2.4,0.34683
95,3818,0.32507,3196,2.1,0.38833
96,2576,0.35135,2122,1.9,0.42652
97,1670,0.36869,1361,1.7,0.4524
