Age,lx,qx,Lx,ex
0,"100,000",0.00333,"99,703",84.3
1,"99,667",0.00026,"99,653",83.6
2,"99,641",0.00016,"99,632",82.6
3,"99,625",0.00012,"99,619",81.6
4,"99,613",0.00010,"99,608",80.7
5,"99,603",0.00009,"99,598",79.7
6,"99,594",0.00009,"99,589",78.7
7,"99,585",0.00008,"99,581",77.7
8,"99,577",0.00008,"99,573",76.7
9,"99,569",0.00008,"99,566",75.7
10,"99,562",0.00008,"99,558",74.7
11,"99,554",0.00008,"99,550",73.7
12,"99,547",0.00008,"99,543",72.7
13,"99,538",0.00009,"99,534",71.7
14,"99,530",0.00014,"99,523",70.7
15,"99,516",0.00018,"99,507",69.7
16,"99,498",0.00022,"99,488",68.7
17,"99,477",0.00024,"99,465",67.8
18,"99,453",0.00026,"99,440",66.8
19,"99,427",0.00027,"99,413",65.8
20,"99,400",0.00027,"99,386",64.8
21,"99,373",0.00027,"99,359",63.8
22,"99,346",0.00027,"99,333",62.8
23,"99,320",0.00026,"99,307",61.9
24,"99,294",0.00026,"99,281",60.9
25,"99,268",0.00026,"99,255",59.9
26,"99,243",0.00026,"99,230",58.9
27,"99,217",0.00027,"99,204",57.9
28,"99,190",0.00029,"99,176",56.9
29,"99,162",0.00032,"99,146",55.9
30,"99,130",0.00036,"99,113",55.0
31,"99,094",0.00040,"99,075",54.0
32,"99,054",0.00043,"99,033",53.0
33,"99,011",0.00045,"98,989",52.0
34,"98,966",0.00047,"98,943",51.1
35,"98,919",0.00050,"98,895",50.1
36,"98,870",0.00054,"98,844",49.1
37,"98,816",0.00060,"98,787",48.1
38,"98,757",0.00066,"98,725",47.2
39,"98,692",0.00072,"98,657",46.2
40,"98,621",0.00079,"98,583",45.2
41,"98,544",0.00086,"98,502",44.3
42,"98,459",0.00093,"98,414",43.3
43,"98,367",0.00102,"98,318",42.3
44,"98,267",0.00111,"98,214",41.4
45,"98,158",0.00121,"98,100",40.4
46,"98,040",0.00131,"97,977",39.5
47,"97,912",0.00142,"97,843",38.5
48,"97,773",0.00154,"97,698",37.6
49,"97,622",0.00167,"97,542",36.6
50,"97,460",0.00180,"97,373",35.7
51,"97,284",0.00195,"97,190",34.8
52,"97,094",0.00212,"96,993",33.8
53,"96,889",0.00229,"96,779",32.9
54,"96,666",0.00249,"96,548",32.0
55,"96,426",0.00270,"96,297",31.0
56,"96,165",0.00294,"96,026",30.1
57,"95,882",0.00319,"95,731",29.2
58,"95,576",0.00347,"95,412",28.3
59,"95,244",0.00378,"95,066",27.4
60,"94,884",0.00411,"94,692",26.5
61,"94,494",0.00447,"94,285",25.6
62,"94,071",0.00486,"93,845",24.7
63,"93,614",0.00529,"93,369",23.8
64,"93,119",0.00575,"92,855",23.0
65,"92,584",0.00626,"92,298",22.1
66,"92,005",0.00683,"91,695",21.2
67,"91,376",0.00750,"91,038",20.4
68,"90,691",0.00827,"90,321",19.5
69,"89,941",0.00916,"89,535",18.7
70,"89,117",0.01019,"88,670",17.9
71,"88,209",0.01138,"87,715",17.0
72,"87,205",0.01274,"86,659",16.2
73,"86,095",0.01428,"85,490",15.4
74,"84,865",0.01598,"84,198",14.6
75,"83,509",0.01783,"82,776",13.9
76,"82,020",0.01992,"81,215",13.1
77,"80,386",0.02235,"79,502",12.4
78,"78,589",0.02523,"77,614",11.6
79,"76,606",0.02865,"75,528",10.9
80,"74,412",0.03271,"73,216",10.2
81,"71,978",0.03753,"70,650",9.6
82,"69,276",0.04318,"67,806",8.9
83,"66,285",0.04976,"64,662",8.3
84,"62,987",0.05735,"61,207",7.7
85,"59,375",0.06603,"57,440",7.1
86,"55,455",0.07587,"53,374",6.6
87,"51,248",0.08693,"49,039",6.1
88,"46,793",0.09927,"44,483",5.7
89,"42,148",0.11293,"39,774",5.2
90,"37,388",0.12755,"34,998",4.8
91,"32,619",0.14211,"30,287",4.5
92,"27,984",0.15849,"25,748",4.1
93,"23,549",0.17845,"21,425",3.8
94,"19,346",0.20068,"17,374",3.5
95,"15,464",0.22331,"13,698",3.3
96,"12,011",0.24466,"10,495",3.1
97,"9,072",0.26046,"7,845",2.9
98,"6,709",0.27627,"5,743",2.7
99,"4,856",0.29207,"4,113",2.6
100,"3,437",0.30787,"8,550",2.5
